#p01    #fam01  #n01    #color01
62719   1       2090    6
62747   1       2091    7
62797   1       2093    8
62803   1       2093    1
62813   1       2093    2
63007   1       2100    3
63041   1       2101    4
63193   1       2106    5
63217   1       2107    6
63257   1       2108    7
63289   1       2109    8
63371   1       2112    1
63427   1       2114    2
63503   1       2116    3
63539   1       2117    4
63583   1       2119    5
63637   1       2121    6
63701   1       2123    7
63767   1       2125    8
63847   1       2128    1
63859   1       2128    2
63973   1       2132    3
64031   1       2134    4
64057   1       2135    5
64193   1       2139    6
64267   1       2142    7
64277   1       2142    8
64361   1       2145    1
64363   1       2145    2
64409   1       2146    3
64429   1       2147    4
64477   1       2149    5
64687   1       2156    6
64691   1       2156    7
64753   1       2158    8
64787   1       2159    1
64883   1       2162    2
64999   1       2166    3
65021   1       2167    4
65143   1       2171    5
65279   1       2175    6
65297   1       2176    7
65351   1       2178    8
65533   1       2184    1
65569   1       2185    2
65573   1       2185    3
65681   1       2189    4
65807   1       2193    5
65923   1       2197    6
66011   1       2200    7
66139   1       2204    8
66149   1       2204    1
66263   1       2208    2
66313   1       2210    3
66317   1       2210    4
66341   1       2211    5
66671   1       2222    6
66703   1       2223    7
66709   1       2223    8
66827   1       2227    1
66953   1       2231    2
67001   1       2233    3
67019   1       2233    4
67093   1       2236    5
67279   1       2242    6
67331   1       2244    7
67337   1       2244    8
67483   1       2249    1
67643   1       2254    2
67661   1       2255    3
67847   1       2261    4
67849   1       2261    5
67873   1       2262    6
67889   1       2262    7
67991   1       2266    8
68263   1       2275    1
68321   1       2277    2
68333   1       2277    3
68357   1       2278    4
68419   1       2280    5
68651   1       2288    6
68653   1       2288    7
68759   1       2291    8
68867   1       2295    1
68981   1       2299    2
68989   1       2299    3
69023   1       2300    4
69043   1       2301    5
69311   1       2310    6
69377   1       2312    7
69433   1       2314    8
69559   1       2318    1
69629   1       2320    2
69641   1       2321    3
69713   1       2323    4
69823   1       2327    5
69887   1       2329    6
69971   1       2332    7
70129   1       2337    8
70213   1       2340    1
70301   1       2343    2
70397   1       2346    3
70403   1       2346    4
70499   1       2349    5
70603   1       2353    6
70631   1       2354    7
70699   1       2356    8
70907   1       2363    1
70961   1       2365    2
70993   1       2366    3
71093   1       2369    4
71269   1       2375    5
71291   1       2376    6
71369   1       2378    7
71383   1       2379    8
71417   1       2380    1
71621   1       2387    2
